YORF,Half-life Time Course 1,Half-life Time Course 2,Half-life Time Course 3,Final Half-life
YBL003C,,5.582853065763282,5.826640823514453,5.704746944638868
YBR009C,8.440750286180812,5.082528522666886,6.3058577114627345,6.609712173436811
YNL031C,6.449510114002961,5.694155413236671,6.898881087433475,6.347515538224369
YMR035W,9.129724805037284,3.772913943616423,,6.451319374326854
YHR013C,,6.9488721934093345,7.583924542334441,7.266398367871888
YLR321C,,,7.565914645721914,7.565914645721914
YGR056W,8.372081483640265,5.404841983359133,8.227175381476279,7.334699616158559
YDL017W,,6.605640491013993,5.412519352690629,6.009079921852312
YJL194W,16.75048005779584,2.346063857688616,1.8186142216039172,6.971719379029458
YFR033C,11.60679699873787,7.312367303405425,4.620690765895976,7.8466183560130895
YKL016C,6.045264972525096,9.027812815814508,8.695064469948235,7.922714086095946
Q0085,,-259.88649576718336,-39.21703994448645,-149.5517678558349
YER070W,10.246568299180025,5.775249968197424,6.17065410489023,7.397490790755892
YHL038C,5.2831738634898775,3.4716003162049613,2.86967796521826,3.8748173816376994
Q0120,69.73064626690932,-113.08818912231776,-241.56528204427056,-94.97427496655968
YLR382C,,,5.1009429954514545,5.1009429954514545
YKR052C,14.696793184329527,-235.24479021843104,9.971996044019347,-70.1920003300274
YOR178C,,-20.65725748734964,-5.196716764740122,-12.926987126044882
YJL089W,-1413036.11467564,81.08341417182218,17.47255886354388,-470979.18623420154
YBL016W,,5.299140031404757,3.5319664107892135,4.415553221096985
YDR113C,7.833496308170513,,3.4770669777570204,5.655281642963767
YOR257W,,,7.123070265601481,7.123070265601481
YNL188W,,,0.8471881708757247,0.8471881708757247
YPL255W,,7.393001897971497,4.489935999993694,5.941468948982596
YDR201W,36.68495906080346,-34.44082562062222,4.703655032898144,2.3159294910264605
YOL069W,,5.243747801475179,4.90423009805584,5.073988949765509
YMR282C,,,5.299484046399328,5.299484046399328
YCR046C,,5.714862593734445,4.8119264319347925,5.263394512834619
YJL148W,7.1809225080727686,,4.238741135215272,5.70983182164402
YNL248C,9.462604648230826,5.159928155825555,5.888398123761017,6.836976975939133
YOR340C,13.045907474839815,5.1182430795756,3.97005420285861,7.378068252424675
YPR190C,,5.261439528258946,9.384904990533546,7.323172259396246
YPR186C,50.831453178087074,-371.2776913682983,2.5080839083326887,-105.9793847606262
YGR047C,10.555376371838069,7.891462765261126,5.541703996787598,7.996181044628931
YDR362C,,4.744803390763398,3.9169057743163,4.330854582539849
YKL109W,,-26.30916149717626,31.98414126875361,2.837489885788676
YBL021C,,,5.769436755830074,5.769436755830074
YML043C,26.098019084510316,-146.21306965356138,1.6152386470088562,-39.4999373073474
YLR141W,,,6.2696681284534685,6.2696681284534685
YMR270C,,4.734265615789361,7.192894152582353,5.963579884185856
YBL025W,,8.75344392582653,5.597692452754668,7.175568189290599
YGR005C,,,7.719662420887913,7.719662420887913
YKL122C,,5.794295330704685,7.8624310004792815,6.828363165591983
YPR025C,,5.382527963391937,9.671525579715183,7.527026771553562
